Year,Month,Trade,Product,Product_KR,Country,Cases,Quantity_kg
2025,3,Import,Frozen deer velvet,생녹용,New Zealand,9,31412.08
2025,4,Export,Deer velvet extract,녹용추출물,USA,2,855.75
2025,4,Import,Dried deer velvet,녹용,China,5,5760
2025,4,Import,Dried deer velvet,녹용,Hong Kong,1,400
2025,4,Import,Dried deer velvet,녹용,New Zealand,1,1024.37
2025,4,Import,Dried deer velvet,녹용,Russia,3,3385.44
2025,4,Import,Frozen deer velvet,생녹용,New Zealand,4,12629.22
2025,5,Import,Dried deer velvet,녹용,China,2,4660
2025,5,Import,Dried deer velvet,녹용,New Zealand,1,500
2025,5,Import,Dried deer velvet,녹용,Russia,1,1702
2025,5,Import,Frozen deer velvet,생녹용,New Zealand,3,6774.75
2025,6,Export,Deer velvet extract,녹용추출물,USA,4,9572
2025,6,Import,Dried deer velvet,녹용,China,5,4700
2025,6,Import,Dried deer velvet,녹용,Russia,2,2010
2025,6,Import,Frozen deer velvet,생녹용,New Zealand,2,2293.58
2025,7,Export,Deer velvet extract,녹용추출물,USA,1,525
2025,7,Import,Dried deer velvet,녹용,China,5,6160
2025,7,Import,Dried deer velvet,녹용,Russia,1,373.5
2025,7,Import,Frozen deer velvet,생녹용,New Zealand,1,5000
